country_code,date,holiday_name
IM,1887-12-25,Christmas Day
NL,1887-12-25,Christmas Day
PT,1887-12-25,Christmas Day
US,1887-12-25,Christmas Day
VE,1887-12-25,Christmas Day
AU,1887-12-26,Boxing Day
CA,1887-12-26,Christmas Day (observed)
FI,1887-12-26,Second Day of Christmas
GB,1887-12-26,Boxing Day
IE,1887-12-26,Saint Stephen's Day
IM,1887-12-26,Boxing Day
NL,1887-12-26,Second Day of Christmas
US,1887-12-26,Christmas Day (observed)
GB,1887-12-27,Christmas Day (observed)
IM,1887-12-27,Christmas Day (observed)
VE,1887-12-31,New Year's Eve
AU,1888-01-01,New Year's Day
BO,1888-01-01,New Year's Day
CA,1888-01-01,New Year's Day
CH,1888-01-01,New Year's Day
FI,1888-01-01,New Year's Day
FR,1888-01-01,New Year's Day
NL,1888-01-01,New Year's Day
PT,1888-01-01,New Year's Day
US,1888-01-01,New Year's Day
VE,1888-01-01,New Year's Day
CA,1888-01-02,New Year's Day (observed)
US,1888-01-02,New Year's Day (observed)
FI,1888-01-06,Epiphany
BO,1888-02-13,Carnival
VE,1888-02-13,Monday of Carnival
BO,1888-02-14,Carnival
VE,1888-02-14,Tuesday of Carnival
US,1888-02-22,Washington's Birthday
VE,1888-03-29,Maundy Thursday
AU,1888-03-30,Good Friday
BO,1888-03-30,Good Friday
CA,1888-03-30,Good Friday
FI,1888-03-30,Good Friday
GB,1888-03-30,Good Friday
IM,1888-03-30,Good Friday
PT,1888-03-30,Good Friday
VE,1888-03-30,Good Friday
FI,1888-04-01,Easter Sunday
NL,1888-04-01,Easter Sunday
PT,1888-04-01,Easter Sunday
AU,1888-04-02,Easter Monday
FI,1888-04-02,Easter Monday
FR,1888-04-02,Easter Monday
IE,1888-04-02,Easter Monday
IM,1888-04-02,Easter Monday
NL,1888-04-02,Easter Monday
VE,1888-04-19,Declaration of Independence
BO,1888-05-01,Labor Day
FI,1888-05-01,May Day
CH,1888-05-10,Ascension Day
FI,1888-05-10,Ascension Day
FR,1888-05-10,Ascension Day
NL,1888-05-10,Ascension Day
FI,1888-05-20,Whit Sunday
NL,1888-05-20,Whit Sunday
FR,1888-05-21,Whit Monday
IE,1888-05-21,Whit Monday
IM,1888-05-21,Whit Monday
NL,1888-05-21,Whit Monday
US,1888-05-30,Memorial Day
BO,1888-05-31,Corpus Christi
PT,1888-05-31,Corpus Christi
IM,1888-06-01,TT Bank Holiday
FI,1888-06-23,Midsummer Eve
FI,1888-06-24,Midsummer Day
VE,1888-06-24,Battle of Carabobo
CA,1888-07-01,Dominion Day
US,1888-07-04,Independence Day
IM,1888-07-05,Tynwald Day
VE,1888-07-05,Independence Day
FR,1888-07-14,National Day
CH,1888-08-01,National Day
BO,1888-08-06,Independence Day
IE,1888-08-06,August Bank Holiday
FR,1888-08-15,Assumption Day
PT,1888-08-15,Assumption Day
FI,1888-11-01,All Saints' Day
FR,1888-11-01,All Saints' Day
PT,1888-11-01,All Saints' Day
US,1888-11-22,Thanksgiving Day
PT,1888-12-01,Restoration of Independence Day
PT,1888-12-08,Immaculate Conception
FI,1888-12-24,Christmas Eve
VE,1888-12-24,Christmas Eve
AU,1888-12-25,Christmas Day
BO,1888-12-25,Christmas Day
CA,1888-12-25,Christmas Day
CH,1888-12-25,Christmas Day
FI,1888-12-25,Christmas Day
FR,1888-12-25,Christmas Day
GB,1888-12-25,Christmas Day
IE,1888-12-25,Christmas Day
IM,1888-12-25,Christmas Day
NL,1888-12-25,Christmas Day
PT,1888-12-25,Christmas Day
US,1888-12-25,Christmas Day
VE,1888-12-25,Christmas Day
AU,1888-12-26,Boxing Day
FI,1888-12-26,Second Day of Christmas
GB,1888-12-26,Boxing Day
IE,1888-12-26,Saint Stephen's Day
IM,1888-12-26,Boxing Day
NL,1888-12-26,Second Day of Christmas
VE,1888-12-31,New Year's Eve
AU,1889-01-01,New Year's Day
BO,1889-01-01,New Year's Day
CA,1889-01-01,New Year's Day
CH,1889-01-01,New Year's Day
FI,1889-01-01,New Year's Day
FR,1889-01-01,New Year's Day
NL,1889-01-01,New Year's Day
PT,1889-01-01,New Year's Day
US,1889-01-01,New Year's Day
VE,1889-01-01,New Year's Day
FI,1889-01-06,Epiphany
US,1889-02-22,Washington's Birthday
BO,1889-03-04,Carnival
VE,1889-03-04,Monday of Carnival
BO,1889-03-05,Carnival
VE,1889-03-05,Tuesday of Carnival
VE,1889-04-18,Maundy Thursday
AU,1889-04-19,Good Friday
BO,1889-04-19,Good Friday
CA,1889-04-19,Good Friday
FI,1889-04-19,Good Friday
GB,1889-04-19,Good Friday
IM,1889-04-19,Good Friday
PT,1889-04-19,Good Friday
VE,1889-04-19,Declaration of Independence; Good Friday
FI,1889-04-21,Easter Sunday
NL,1889-04-21,Easter Sunday
PT,1889-04-21,Easter Sunday
AU,1889-04-22,Easter Monday
FI,1889-04-22,Easter Monday
FR,1889-04-22,Easter Monday
IE,1889-04-22,Easter Monday
IM,1889-04-22,Easter Monday
NL,1889-04-22,Easter Monday
BO,1889-05-01,Labor Day
FI,1889-05-01,May Day
CH,1889-05-30,Ascension Day
FI,1889-05-30,Ascension Day
FR,1889-05-30,Ascension Day
NL,1889-05-30,Ascension Day
US,1889-05-30,Memorial Day
IM,1889-06-07,TT Bank Holiday
FI,1889-06-09,Whit Sunday
NL,1889-06-09,Whit Sunday
FR,1889-06-10,Whit Monday
IE,1889-06-10,Whit Monday
IM,1889-06-10,Whit Monday
NL,1889-06-10,Whit Monday
BO,1889-06-20,Corpus Christi
PT,1889-06-20,Corpus Christi
FI,1889-06-23,Midsummer Eve
FI,1889-06-24,Midsummer Day
VE,1889-06-24,Battle of Carabobo
CA,1889-07-01,Dominion Day
US,1889-07-04,Independence Day
IM,1889-07-05,Tynwald Day
VE,1889-07-05,Independence Day
FR,1889-07-14,National Day
CH,1889-08-01,National Day
IE,1889-08-05,August Bank Holiday
BO,1889-08-06,Independence Day
FR,1889-08-15,Assumption Day
PT,1889-08-15,Assumption Day
FI,1889-11-01,All Saints' Day
FR,1889-11-01,All Saints' Day
PT,1889-11-01,All Saints' Day
US,1889-11-28,Thanksgiving Day
PT,1889-12-01,Restoration of Independence Day
PT,1889-12-08,Immaculate Conception
FI,1889-12-24,Christmas Eve
VE,1889-12-24,Christmas Eve
AU,1889-12-25,Christmas Day
BO,1889-12-25,Christmas Day
CA,1889-12-25,Christmas Day
CH,1889-12-25,Christmas Day
FI,1889-12-25,Christmas Day
FR,1889-12-25,Christmas Day
GB,1889-12-25,Christmas Day
IE,1889-12-25,Christmas Day
IM,1889-12-25,Christmas Day
NL,1889-12-25,Christmas Day
PT,1889-12-25,Christmas Day
US,1889-12-25,Christmas Day
VE,1889-12-25,Christmas Day
AU,1889-12-26,Boxing Day
FI,1889-12-26,Second Day of Christmas
GB,1889-12-26,Boxing Day
IE,1889-12-26,Saint Stephen's Day
IM,1889-12-26,Boxing Day
NL,1889-12-26,Second Day of Christmas
VE,1889-12-31,New Year's Eve
AU,1890-01-01,New Year's Day
BO,1890-01-01,New Year's Day
BR,1890-01-01,Universal Fraternization Day
CA,1890-01-01,New Year's Day
CH,1890-01-01,New Year's Day
FI,1890-01-01,New Year's Day
FR,1890-01-01,New Year's Day
NL,1890-01-01,New Year's Day
PT,1890-01-01,New Year's Day
US,1890-01-01,New Year's Day
VE,1890-01-01,New Year's Day
FI,1890-01-06,Epiphany
BO,1890-02-17,Carnival
VE,1890-02-17,Monday of Carnival
BO,1890-02-18,Carnival
VE,1890-02-18,Tuesday of Carnival
US,1890-02-22,Washington's Birthday
VE,1890-04-03,Maundy Thursday
AU,1890-04-04,Good Friday
BO,1890-04-04,Good Friday
BR,1890-04-04,Good Friday
CA,1890-04-04,Good Friday
FI,1890-04-04,Good Friday
GB,1890-04-04,Good Friday
IM,1890-04-04,Good Friday
PT,1890-04-04,Good Friday
VE,1890-04-04,Good Friday
FI,1890-04-06,Easter Sunday
NL,1890-04-06,Easter Sunday
PT,1890-04-06,Easter Sunday
AU,1890-04-07,Easter Monday
FI,1890-04-07,Easter Monday
FR,1890-04-07,Easter Monday
IE,1890-04-07,Easter Monday
IM,1890-04-07,Easter Monday
NL,1890-04-07,Easter Monday
VE,1890-04-19,Declaration of Independence
BR,1890-04-21,Tiradentes' Day
BO,1890-05-01,Labor Day
FI,1890-05-01,May Day
BR,1890-05-03,Discovery of Brazil
BR,1890-05-13,Abolition of slavery in Brazil
CH,1890-05-15,Ascension Day
FI,1890-05-15,Ascension Day
FR,1890-05-15,Ascension Day
NL,1890-05-15,Ascension Day
FI,1890-05-25,Whit Sunday
NL,1890-05-25,Whit Sunday
FR,1890-05-26,Whit Monday
IE,1890-05-26,Whit Monday
IM,1890-05-26,Whit Monday
NL,1890-05-26,Whit Monday
US,1890-05-30,Memorial Day
BO,1890-06-05,Corpus Christi
PT,1890-06-05,Corpus Christi
IM,1890-06-06,TT Bank Holiday
FI,1890-06-23,Midsummer Eve
FI,1890-06-24,Midsummer Day
VE,1890-06-24,Battle of Carabobo
CA,1890-07-01,Dominion Day
US,1890-07-04,Independence Day
IM,1890-07-05,Tynwald Day
VE,1890-07-05,Independence Day
BR,1890-07-14,Freedom and Independence of American Peoples
FR,1890-07-14,National Day
CH,1890-08-01,National Day
IE,1890-08-04,August Bank Holiday
BO,1890-08-06,Independence Day
FR,1890-08-15,Assumption Day
PT,1890-08-15,Assumption Day
BR,1890-09-07,Independence Day
BR,1890-10-12,Discovery of America
FI,1890-11-01,All Saints' Day
FR,1890-11-01,All Saints' Day
PT,1890-11-01,All Saints' Day
BR,1890-11-02,All Souls' Day
BR,1890-11-15,Republic Proclamation Day
US,1890-11-27,Thanksgiving Day
PT,1890-12-01,Restoration of Independence Day
PT,1890-12-08,Immaculate Conception
FI,1890-12-24,Christmas Eve
VE,1890-12-24,Christmas Eve
AU,1890-12-25,Christmas Day
BO,1890-12-25,Christmas Day
CA,1890-12-25,Christmas Day
CH,1890-12-25,Christmas Day
FI,1890-12-25,Christmas Day
FR,1890-12-25,Christmas Day
GB,1890-12-25,Christmas Day
IE,1890-12-25,Christmas Day
IM,1890-12-25,Christmas Day
NL,1890-12-25,Christmas Day
PT,1890-12-25,Christmas Day
US,1890-12-25,Christmas Day
VE,1890-12-25,Christmas Day
AU,1890-12-26,Boxing Day
FI,1890-12-26,Second Day of Christmas
GB,1890-12-26,Boxing Day
IE,1890-12-26,Saint Stephen's Day
IM,1890-12-26,Boxing Day
NL,1890-12-26,Second Day of Christmas
VE,1890-12-31,New Year's Eve
AU,1891-01-01,New Year's Day
BO,1891-01-01,New Year's Day
BR,1891-01-01,Universal Fraternization Day
CA,1891-01-01,New Year's Day
CH,1891-01-01,New Year's Day
FI,1891-01-01,New Year's Day
FR,1891-01-01,New Year's Day
NL,1891-01-01,New Year's Day
PT,1891-01-01,New Year's Day
US,1891-01-01,New Year's Day
VE,1891-01-01,New Year's Day
FI,1891-01-06,Epiphany
BO,1891-02-09,Carnival
VE,1891-02-09,Monday of Carnival
BO,1891-02-10,Carnival
VE,1891-02-10,Tuesday of Carnival
US,1891-02-22,Washington's Birthday
VE,1891-03-26,Maundy Thursday
AU,1891-03-27,Good Friday
BO,1891-03-27,Good Friday
BR,1891-03-27,Good Friday
CA,1891-03-27,Good Friday
FI,1891-03-27,Good Friday
GB,1891-03-27,Good Friday
IM,1891-03-27,Good Friday
PT,1891-03-27,Good Friday
VE,1891-03-27,Good Friday
FI,1891-03-29,Easter Sunday
NL,1891-03-29,Easter Sunday
PT,1891-03-29,Easter Sunday
AU,1891-03-30,Easter Monday
FI,1891-03-30,Easter Monday
FR,1891-03-30,Easter Monday
IE,1891-03-30,Easter Monday
IM,1891-03-30,Easter Monday
NL,1891-03-30,Easter Monday
VE,1891-04-19,Declaration of Independence
BR,1891-04-21,Tiradentes' Day
BO,1891-05-01,Labor Day
FI,1891-05-01,May Day
BR,1891-05-03,Discovery of Brazil
CH,1891-05-07,Ascension Day
FI,1891-05-07,Ascension Day
FR,1891-05-07,Ascension Day
NL,1891-05-07,Ascension Day
BR,1891-05-13,Abolition of slavery in Brazil
FI,1891-05-17,Whit Sunday
NL,1891-05-17,Whit Sunday
FR,1891-05-18,Whit Monday
IE,1891-05-18,Whit Monday
IM,1891-05-18,Whit Monday
NL,1891-05-18,Whit Monday
BO,1891-05-28,Corpus Christi
PT,1891-05-28,Corpus Christi
US,1891-05-30,Memorial Day
IM,1891-06-05,TT Bank Holiday
FI,1891-06-23,Midsummer Eve
FI,1891-06-24,Midsummer Day
VE,1891-06-24,Battle of Carabobo
CA,1891-07-01,Dominion Day
US,1891-07-03,Independence Day (observed)
US,1891-07-04,Independence Day
IM,1891-07-05,Tynwald Day
VE,1891-07-05,Independence Day
BR,1891-07-14,Freedom and Independence of American Peoples
FR,1891-07-14,National Day
CH,1891-08-01,National Day
IE,1891-08-03,August Bank Holiday
BO,1891-08-06,Independence Day
FR,1891-08-15,Assumption Day
PT,1891-08-15,Assumption Day
NL,1891-08-31,Queen's Day
BR,1891-09-07,Independence Day
BR,1891-10-12,Discovery of America
FI,1891-11-01,All Saints' Day
FR,1891-11-01,All Saints' Day
PT,1891-11-01,All Saints' Day
BR,1891-11-02,All Souls' Day
BR,1891-11-15,Republic Proclamation Day
US,1891-11-26,Thanksgiving Day
PT,1891-12-01,Restoration of Independence Day
PT,1891-12-08,Immaculate Conception
FI,1891-12-24,Christmas Eve
VE,1891-12-24,Christmas Eve
AU,1891-12-25,Christmas Day
BO,1891-12-25,Christmas Day
CA,1891-12-25,Christmas Day
CH,1891-12-25,Christmas Day
FI,1891-12-25,Christmas Day
FR,1891-12-25,Christmas Day
